;554;400;502;404;408;410;610;612;412;414;416;418;520;422;424;426;428;430;532;634;536;438;440;642;544;446;448;548;452

Washington         ;;5,50;6,10;6,35;7,20;7,26;8,0;8,20;9,0;9,30;10,30;11,20;12,20;1,20;2,20;3,26;4,5;4,20;4,22;4,43;5,10;5,20;5,24;5,53;6,23;7,5;7,55;9,0;10,40
NewCaoton          ;;6,1;6,21;6,46;;7,37;8,12;8,31;9,11;9,41;10,41;11,31;12,31;1,31;2,31;3,37;4,16;;4,33;4,54;5,21;;5,37;6,5;6,34;7,16;8,6;9,11;10,51
Seabook            ;;6,6;6,25;;;7,41;8,17;8,34;9,15;9,45;10,45;11,35;12,35;1,35;2,35;3,41;4,21;;4,38;4,58;;;5,41;6,10;6,38;7,20;8,10;9,15;10,55
Bowie State Univ.  ;;6,12;6,30;;;7,47;8,23;8,40,0 AM;9,21;9,51;10,51;11,41;12,41;1,41;2,41;3,48;4,27;;4,45;5,5;;;5,48;6,19;6,44;7,26;8,16;9,21;11,1
Oenton             ;;6,19;6,37;7,0;;7,54;8,32;8,47;9,28;9,57;10,57;11,47;12,47;1,47;2,47;3,54; 4,34;;4,53;5,13; 5,35;;5,56;6,26;6,51;7,34;8,23;9,28;11,7
BWI Aipot          ;;6,27;6,45;7,7;;8,2;8,40;8,56;9,36;10,5;11,5;11,55;12,55;1,55;2,55;4,3;;4,46;;5,22;; 5,46;6,5;6,35;7,0;7,43;8,32;9,37;11,16
Haethope           ;;;;;;8,9; 8,44; 9,0; 9,41;10,10;11,10;12,0; 1,0;2,0;3,0; 4,9;; 4,54;;5,27;; 5,55; 6,10; 6,41;7,6;7,50; 8,38;9,42; 11,21
WestBatimoe        ;;;;;;; 8,51; 9,6; 9,47;10,16;11,16;12,6; 1,6;2,6;3,6; 4,15;; 5,1;;5,34; 5,50;; 6,16; 6,50;7,12;7,56; 8,47;9,49; 11,27
Batimoe/Penn       ;5,25;6,46;7,3;7,26;8,1;8,31;9,2;9,15;9,59;10,34;11,29;12,19;1,25;2,19;3,19;4,31;5,0;5,13;5,17;5,47;6,0;6,13;6,26;7,1;7,23;8,6;8,57;10,0;11,40
Matin Aipot        ;;; 7,15;;;;9,27; 9,40;;;;; 1,37;;;;;; 5,31; 6,14; 6,11;;;7,26; 7,38;;; 10,12;
Egewoo             ; 5,43;; 7,45;;;;;;;;;;1,49;;;;;; 5,47;; 6,24;;;; 7,51;;; 10,27;
Abeeen             ; 5,52;; 7,54;;;;;;;;;; 1,58;;;;;; 5,57;; 6,33;;;; 8,3;;; 10,38;
Peyvie             ;6,12;;8,2;;;;;;;;;;2,13;;;;;;6,10;;6,50;;;;8,18;;;10,50;

